PR_NUM,REVISION,METERID,CREATEDDATE,FORECASTID,REQUESTED_DATE,STATUS,RESPONSE_DATE,RESPONSE_STATUS
1-ZD28G4,2,PJM_PPL_7306400007,12/11/2019 8:40,20191211084102752000_PJM_PPL_7306400007,12/11/2019 8:41,FORECAST_COMPLETE,12/11/2019 9:06,SUCCESS
1-ZD28G4,2,PJM_PPL_9198143000,12/11/2019 8:40,20191211084102627000_PJM_PPL_9198143000,12/11/2019 8:41,FORECAST_COMPLETE,12/11/2019 9:07,SUCCESS
1-ZD28G4,2,PJM_PPL_6863124007,12/11/2019 8:40,20191211084102549000_PJM_PPL_6863124007,12/11/2019 8:41,FORECAST_COMPLETE,12/11/2019 9:02,SUCCESS
1-ZD28G4,2,PJM_PPL_5729126019,12/11/2019 8:40,20191211084102752000_PJM_PPL_5729126019,12/11/2019 8:41,FORECAST_COMPLETE,12/11/2019 9:02,SUCCESS
1-ZD28G4,2,PJM_PPL_8266130007,12/11/2019 8:40,20191211084102627000_PJM_PPL_8266130007,12/11/2019 8:41,FORECAST_COMPLETE,12/11/2019 9:06,SUCCESS
1-ZD28G4,2,PJM_PPL_8047122009,12/11/2019 8:40,20191211084102658000_PJM_PPL_8047122009,12/11/2019 8:41,FORECAST_COMPLETE,12/11/2019 9:06,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002308961,12/11/2019 8:30,20191211083101290000_ERCOT_ONCOR_10443720002308961,12/11/2019 8:31,FORECAST_COMPLETE,12/11/2019 8:59,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720004799138,12/11/2019 8:30,20191211083101336000_ERCOT_ONCOR_10443720004799138,12/11/2019 8:31,FORECAST_COMPLETE,12/11/2019 8:55,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002318633,12/11/2019 8:30,20191211083101399000_ERCOT_ONCOR_10443720002318633,12/11/2019 8:31,FORECAST_COMPLETE,12/11/2019 8:56,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002326259,12/11/2019 8:30,20191211083101383000_ERCOT_ONCOR_10443720002326259,12/11/2019 8:31,FORECAST_COMPLETE,12/11/2019 8:55,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002326197,12/11/2019 8:30,20191211083101430000_ERCOT_ONCOR_10443720002326197,12/11/2019 8:31,FORECAST_COMPLETE,12/11/2019 8:46,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720000934958,12/11/2019 8:30,20191211083101477000_ERCOT_ONCOR_10443720000934958,12/11/2019 8:31,FORECAST_COMPLETE,12/11/2019 8:46,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002333110,12/11/2019 8:30,20191211083101571000_ERCOT_ONCOR_10443720002333110,12/11/2019 8:31,FORECAST_COMPLETE,12/11/2019 8:55,SUCCESS
